prov_name,prov_internal,reg_name,reg_internal,reg_code
Abra,ABRA,CAR (Cordillera Administrative Region),CAR,14
Agusan del Norte,AGUSAN DEL NORTE,Region XIII (Caraga),CARAGA,16
Agusan del Sur,AGUSAN DEL SUR,Region XIII (Caraga),CARAGA,16
Aklan,AKLAN,Region VI (Western Visayas),Region VI: Western Visayas,6
Albay,ALBAY,Region V (Bicol Region),Region V: Bicol Region,5
Antique,ANTIQUE,Region VI (Western Visayas),Region VI: Western Visayas,6
Apayao,APAYAO,CAR (Cordillera Administrative Region),CAR,14
Aurora,AURORA,Region III (Central Luzon),Region III: Central Luzon,3
Basilan,BASILAN,BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),BARMM,15
Bataan,BATAAN,Region III (Central Luzon),Region III: Central Luzon,3
Batanes,BATANES,Region II (Cagayan Valley),Region II: Cagayan Valley,2
Batangas,BATANGAS,Region IV-A (Calabarzon),Region IV-A: CALABARZON,4
Benguet,BENGUET,CAR (Cordillera Administrative Region),CAR,14
Biliran,BILIRAN,Region VIII (Eastern Visayas),Region VIII: Eastern Visayas,8
Bohol,BOHOL,Region VII (Central Visayas),Region VII: Central Visayas,7
Bukidnon,BUKIDNON,Region X (Northern Mindanao),Region X: Northern Mindanao,10
Bulacan,BULACAN,Region III (Central Luzon),Region III: Central Luzon,3
Cagayan,CAGAYAN,Region II (Cagayan Valley),Region II: Cagayan Valley,2
Camarines Norte,CAMARINES NORTE,Region V (Bicol Region),Region V: Bicol Region,5
Camarines Sur,CAMARINES SUR,Region V (Bicol Region),Region V: Bicol Region,5
Camiguin,CAMIGUIN,Region X (Northern Mindanao),Region X: Northern Mindanao,10
Capiz,CAPIZ,Region VI (Western Visayas),Region VI: Western Visayas,6
Catanduanes,CATANDUANES,Region V (Bicol Region),Region V: Bicol Region,5
Cavite,CAVITE,Region IV-A (Calabarzon),Region IV-A: CALABARZON,4
Cebu,CEBU PROVINCE,Region VII (Central Visayas),Region VII: Central Visayas,7
Cotabato,COTABATO,Region XII (Soccsksargen),Region XII: SOCCSKSARGEN,12
