"name","internal_name","shortened"
"NCR (National Capital Region)","NCR","NCR"
"CAR (Cordillera Administrative Region)","CAR","CAR"
"BARMM (Bangsamoro Autonomous Region in Muslim Mindanao)","BARMM","BARMM"
"Region I (Ilocos Region)","Region I: Ilocos Region","I: Ilocos Region"
"Region II (Cagayan Valley)","Region II: Cagayan Valley","II: Cagayan Valley"
"Region III (Central Luzon)","Region III: Central Luzon","III: Central Luzon"
"Region IV-A (Calabarzon)","Region IV-A: CALABARZON","IV-A: Calabarzon"
"Region IV-B (Mimaropa)","Region IV-B: MIMAROPA","IV-B: Mimaropa"
"Region V (Bicol Region)","Region V: Bicol Region","V: Bicol Region"
"Region VI (Western Visayas)","Region VI: Western Visayas","VI: Western Visayas"
"Region VII (Central Visayas)","Region VII: Central Visayas","VII: Central Visayas"
"Region VIII (Eastern Visayas)","Region VIII: Eastern Visayas","VIII: Eastern Visayas"
"Region IX (Zamboanga Peninsula)","Region IX: Zamboanga Peninsula","IX: Zamboanga Peninsula"
"Region X (Northern Mindanao)","Region X: Northern Mindanao","X: Northern Mindanao"
"Region XI (Davao Region)","Region XI: Davao Region","XI: Davao Region"
"Region XII (Soccsksargen)","Region XII: SOCCSKSARGEN","XII: Soccsksargen"
"Region XIII (Caraga)","CARAGA","XIII: Caraga"
